true_label,true_class_name,kmeans_cluster,hdbscan_cluster,umap_x,umap_y
0,AnnualCrop,6,-1,9.441411,10.09928
0,AnnualCrop,5,-1,7.237367,9.286619
0,AnnualCrop,6,-1,8.570919,11.048591
0,AnnualCrop,6,0,7.9966645,10.962193
0,AnnualCrop,6,-1,10.158501,10.694429
0,AnnualCrop,6,-1,9.103703,10.956345
0,AnnualCrop,6,-1,8.680391,9.924255
0,AnnualCrop,6,0,8.3491535,11.643101
0,AnnualCrop,6,-1,9.380867,10.922756
0,AnnualCrop,6,-1,8.256425,10.134322
0,AnnualCrop,6,-1,7.9493628,10.6915245
0,AnnualCrop,6,-1,8.123895,11.005335
0,AnnualCrop,6,-1,9.172885,10.506215
0,AnnualCrop,8,-1,8.399088,7.125929
0,AnnualCrop,6,-1,9.661156,10.248107
0,AnnualCrop,6,-1,9.301498,11.030753
0,AnnualCrop,6,-1,9.781656,10.491558
0,AnnualCrop,6,-1,9.723592,10.345339
0,AnnualCrop,6,-1,9.038109,10.391944
0,AnnualCrop,6,-1,8.709129,11.4213295
0,AnnualCrop,6,0,8.628301,11.001753
0,AnnualCrop,6,0,7.9883466,10.985727
0,AnnualCrop,6,-1,8.211534,10.797482
0,AnnualCrop,6,-1,9.269855,11.410976
0,AnnualCrop,6,-1,8.961346,11.50314
0,AnnualCrop,8,-1,7.3138113,9.368234
0,AnnualCrop,6,-1,7.8374453,11.182789
0,AnnualCrop,6,-1,8.9747305,9.975882
0,AnnualCrop,6,-1,9.813811,10.168142
0,AnnualCrop,6,-1,8.6787405,10.471612
0,AnnualCrop,6,-1,8.536718,9.629813
0,AnnualCrop,6,-1,8.823189,11.644125
0,AnnualCrop,6,-1,8.234276,10.586871
0,AnnualCrop,6,-1,10.322915,10.827474
0,AnnualCrop,6,-1,10.182347,10.65363
0,AnnualCrop,9,-1,10.868338,9.293721
0,AnnualCrop,6,-1,8.229518,9.847338
0,AnnualCrop,6,-1,9.035026,10.381837
0,AnnualCrop,6,-1,9.658551,10.283356
0,AnnualCrop,6,-1,8.191302,11.24
0,AnnualCrop,6,-1,9.62298,10.2498665
0,AnnualCrop,8,-1,9.03878,7.885082
0,AnnualCrop,6,-1,9.615791,11.221071
0,AnnualCrop,6,0,8.509721,11.687349
0,AnnualCrop,6,-1,9.934893,10.595022
0,AnnualCrop,6,-1,8.113594,11.046038
0,AnnualCrop,7,-1,11.474016,4.061747
0,AnnualCrop,6,-1,7.9047484,11.252002
0,AnnualCrop,6,-1,7.8786993,11.037592
0,AnnualCrop,6,-1,7.579156,10.247967
0,AnnualCrop,6,-1,9.123739,10.917862
0,AnnualCrop,6,-1,8.504281,10.379672
0,AnnualCrop,6,-1,8.885928,10.51264
0,AnnualCrop,1,-1,7.382505,3.945141
0,AnnualCrop,6,-1,7.6709304,10.700883
0,AnnualCrop,5,-1,7.3279114,9.334611
0,AnnualCrop,6,-1,8.331854,10.182839
0,AnnualCrop,6,-1,9.665668,10.242938
0,AnnualCrop,6,-1,8.590399,10.664683
0,AnnualCrop,6,-1,9.66964,10.297446
0,AnnualCrop,6,-1,9.119405,10.339863
0,AnnualCrop,6,-1,8.052528,10.653385
0,AnnualCrop,6,-1,9.698499,10.860071
0,AnnualCrop,6,-1,9.848128,10.2848
0,AnnualCrop,6,0,8.207742,11.163675
0,AnnualCrop,6,-1,8.232383,11.016865
0,AnnualCrop,6,-1,8.481986,10.382778
0,AnnualCrop,6,-1,8.947631,11.679289
0,AnnualCrop,6,-1,8.012368,10.880635
0,AnnualCrop,6,-1,9.360254,11.116767
0,AnnualCrop,6,-1,8.978367,10.6791315
0,AnnualCrop,6,-1,9.8597,11.441119
0,AnnualCrop,6,-1,9.760714,10.435962
0,AnnualCrop,6,-1,8.892227,10.6567
0,AnnualCrop,6,-1,9.353275,10.575536
0,AnnualCrop,6,-1,9.589637,10.411737
0,AnnualCrop,6,-1,7.666161,10.816301
0,AnnualCrop,6,-1,8.17648,11.194913
0,AnnualCrop,6,-1,8.2880335,9.960289
0,AnnualCrop,6,-1,9.489813,10.240578
0,AnnualCrop,6,-1,8.202381,11.175038
0,AnnualCrop,2,-1,7.3632755,10.398683
0,AnnualCrop,6,0,8.73041,11.27005
0,AnnualCrop,3,-1,8.683766,9.393317
0,AnnualCrop,6,-1,9.008244,11.735234
0,AnnualCrop,6,-1,8.536272,10.0513
0,AnnualCrop,6,-1,10.130868,10.602336
0,AnnualCrop,6,-1,8.605582,11.080727
0,AnnualCrop,6,-1,8.626804,10.505293
0,AnnualCrop,3,-1,8.120444,10.125237
0,AnnualCrop,6,-1,8.852361,11.316413
0,AnnualCrop,3,-1,8.7517,8.177604
0,AnnualCrop,6,0,8.823147,11.389831
0,AnnualCrop,6,-1,8.461013,10.274632
0,AnnualCrop,6,-1,8.24918,10.495245
0,AnnualCrop,6,-1,8.725795,10.653918
0,AnnualCrop,6,0,8.429353,10.5685835
0,AnnualCrop,6,-1,7.794808,11.201812
0,AnnualCrop,6,-1,7.658956,10.652877
0,AnnualCrop,6,-1,8.504286,10.687211
0,AnnualCrop,6,-1,8.282921,11.137856
0,AnnualCrop,6,-1,8.509047,10.618692
0,AnnualCrop,6,-1,8.705784,11.215253
0,AnnualCrop,8,-1,8.0621605,6.578179
0,AnnualCrop,6,-1,8.642422,11.370101
0,AnnualCrop,6,0,9.0613985,11.290407
0,AnnualCrop,6,-1,8.270155,9.798545
0,AnnualCrop,6,-1,9.322965,11.271333
0,AnnualCrop,6,-1,8.1453495,11.078736
0,AnnualCrop,6,-1,7.3042016,9.392477
0,AnnualCrop,6,-1,9.034443,10.241795
0,AnnualCrop,6,-1,7.3769903,9.420089
0,AnnualCrop,6,-1,8.687894,11.103738
0,AnnualCrop,6,-1,10.23819,10.791193
0,AnnualCrop,6,-1,9.211485,10.137541
0,AnnualCrop,6,-1,8.987143,11.162792
0,AnnualCrop,6,-1,8.866726,11.426269
0,AnnualCrop,6,-1,7.8974514,10.398802
0,AnnualCrop,5,-1,7.8245225,9.695972
0,AnnualCrop,6,-1,8.603767,10.434383
0,AnnualCrop,8,-1,7.2372427,9.233921
0,AnnualCrop,6,-1,8.052196,10.716956
0,AnnualCrop,6,-1,8.855288,11.408853
0,AnnualCrop,6,-1,8.892025,11.625254
0,AnnualCrop,6,-1,7.9748588,10.827181
0,AnnualCrop,6,-1,8.610812,11.4595785
0,AnnualCrop,6,-1,8.330824,11.346779
0,AnnualCrop,5,-1,5.823083,4.069486
0,AnnualCrop,6,-1,8.60959,10.553164
0,AnnualCrop,6,-1,7.5124965,10.36533
0,AnnualCrop,6,-1,8.496614,10.291717
0,AnnualCrop,6,-1,8.101721,10.766689
0,AnnualCrop,6,-1,8.521687,11.218058
0,AnnualCrop,6,-1,9.56831,10.176917
0,AnnualCrop,6,-1,8.380377,10.670718
0,AnnualCrop,5,-1,7.697664,9.663167
0,AnnualCrop,3,-1,10.627981,8.873598
0,AnnualCrop,6,-1,8.351502,11.049405
0,AnnualCrop,6,-1,8.138668,10.788677
0,AnnualCrop,6,-1,7.588043,10.904089
0,AnnualCrop,6,-1,9.771206,10.348552
0,AnnualCrop,6,-1,9.431129,10.951081
0,AnnualCrop,6,-1,7.8715067,10.419151
0,AnnualCrop,6,-1,8.246296,10.810848
0,AnnualCrop,3,-1,10.323997,8.975774
0,AnnualCrop,6,-1,8.169596,10.26292
0,AnnualCrop,6,-1,8.027184,10.853878
0,AnnualCrop,6,-1,9.3552685,10.961365
0,AnnualCrop,6,-1,8.7340765,11.585446
0,AnnualCrop,6,0,9.10221,11.250825
0,AnnualCrop,6,-1,7.868826,10.846501
0,AnnualCrop,6,-1,8.887862,10.54529
0,AnnualCrop,5,-1,8.014578,9.528237
0,AnnualCrop,6,-1,8.148135,9.954908
0,AnnualCrop,6,0,7.770431,11.358885
0,AnnualCrop,6,-1,8.77523,11.895524
0,AnnualCrop,6,-1,9.398398,10.93243
0,AnnualCrop,6,-1,8.616381,10.501904
0,AnnualCrop,6,-1,7.43158,9.450306
0,AnnualCrop,6,-1,8.514846,10.450013
0,AnnualCrop,6,-1,7.7597256,10.841887
0,AnnualCrop,6,-1,8.626395,10.526685
0,AnnualCrop,6,-1,8.310729,11.748026
0,AnnualCrop,6,-1,8.513207,11.024278
0,AnnualCrop,6,-1,7.74655,10.797412
0,AnnualCrop,6,-1,10.251948,10.829601
0,AnnualCrop,6,-1,8.853434,11.24854
0,AnnualCrop,5,-1,7.326611,9.328041
0,AnnualCrop,6,-1,8.678485,10.902489
0,AnnualCrop,5,-1,7.8701825,3.3053262
0,AnnualCrop,6,-1,8.570049,10.661014
0,AnnualCrop,6,-1,8.513707,11.361964
0,AnnualCrop,6,-1,8.795986,10.991972
0,AnnualCrop,8,-1,8.374088,7.1910954
0,AnnualCrop,6,-1,8.404149,10.477721
0,AnnualCrop,6,-1,10.274739,9.125468
0,AnnualCrop,6,-1,9.023042,11.356805
0,AnnualCrop,6,-1,7.67754,10.775176
0,AnnualCrop,6,-1,8.521116,10.124703
0,AnnualCrop,6,-1,8.536236,11.650787
0,AnnualCrop,6,-1,8.739093,10.931681
0,AnnualCrop,0,0,7.7046785,11.40941
0,AnnualCrop,6,-1,8.405659,10.94595
0,AnnualCrop,1,-1,7.5599327,9.741661
0,AnnualCrop,6,-1,8.776558,11.069737
0,AnnualCrop,6,-1,8.981383,11.136956
0,AnnualCrop,8,-1,7.3744974,9.102294
0,AnnualCrop,6,-1,7.9139633,10.975184
0,AnnualCrop,6,-1,8.272132,10.501383
0,AnnualCrop,6,-1,8.75857,10.395587
0,AnnualCrop,6,-1,9.032246,11.314653
0,AnnualCrop,6,-1,8.539583,10.041643
0,AnnualCrop,6,-1,8.352373,11.258371
0,AnnualCrop,6,-1,8.922588,10.194448
0,AnnualCrop,6,-1,10.076535,10.845457
0,AnnualCrop,8,-1,7.542667,7.5038443
0,AnnualCrop,6,-1,8.4127655,11.773541
0,AnnualCrop,6,-1,7.8761754,9.75196
0,AnnualCrop,6,-1,8.380425,9.924601
0,AnnualCrop,6,0,9.784282,11.315349
0,AnnualCrop,6,-1,8.641586,10.728998
0,AnnualCrop,6,-1,8.837646,10.706953
0,AnnualCrop,6,-1,7.7570524,11.026498
0,AnnualCrop,6,-1,9.853451,11.39387
0,AnnualCrop,6,-1,9.374993,10.141666
0,AnnualCrop,6,-1,8.772277,11.636204
0,AnnualCrop,6,-1,7.8347697,9.840052
0,AnnualCrop,6,-1,7.872627,10.924126
0,AnnualCrop,6,-1,8.015102,9.779626
0,AnnualCrop,6,-1,8.800793,11.539269
0,AnnualCrop,6,-1,7.9149756,11.391726
0,AnnualCrop,6,-1,8.646359,11.801848
0,AnnualCrop,6,-1,8.382086,10.718986
0,AnnualCrop,6,-1,7.913954,10.478857
0,AnnualCrop,0,-1,6.089169,0.88607156
0,AnnualCrop,3,-1,10.6972885,8.799317
0,AnnualCrop,6,-1,8.833794,11.562776
0,AnnualCrop,5,-1,7.7246666,9.528719
0,AnnualCrop,0,-1,5.811313,0.2970562
0,AnnualCrop,6,0,8.809754,11.703488
0,AnnualCrop,6,-1,8.703673,11.182295
0,AnnualCrop,5,-1,7.6880956,9.498273
0,AnnualCrop,6,-1,9.048873,11.178535
0,AnnualCrop,6,-1,8.614912,11.001278
0,AnnualCrop,6,-1,9.480756,10.921676
0,AnnualCrop,6,0,8.464482,11.756806
0,AnnualCrop,6,-1,9.3315115,11.09039
0,AnnualCrop,6,-1,8.259056,10.192722
0,AnnualCrop,6,-1,8.4122715,10.856859
0,AnnualCrop,6,-1,9.467775,10.429037
0,AnnualCrop,6,-1,7.7541723,11.086738
0,AnnualCrop,6,-1,9.936779,9.615043
0,AnnualCrop,6,-1,8.928215,11.373861
0,AnnualCrop,6,0,8.129319,11.358743
0,AnnualCrop,5,-1,7.6776276,9.532736
0,AnnualCrop,6,-1,9.495461,10.225242
0,AnnualCrop,6,-1,8.40175,10.753868
0,AnnualCrop,8,-1,7.2759237,9.32666
0,AnnualCrop,6,-1,7.5743775,10.47621
0,AnnualCrop,6,-1,10.314919,10.659864
0,AnnualCrop,6,-1,8.342425,10.859109
0,AnnualCrop,6,0,8.657407,11.722029
0,AnnualCrop,6,-1,10.182232,10.6917925
0,AnnualCrop,6,0,8.122243,11.660173
0,AnnualCrop,6,-1,8.6684,10.761491
0,AnnualCrop,6,-1,7.7687645,11.156231
0,AnnualCrop,6,-1,10.133244,10.686122
0,AnnualCrop,6,-1,8.213775,10.6782675
0,AnnualCrop,6,-1,8.7970085,10.820103
0,AnnualCrop,6,-1,8.991302,10.222343
0,AnnualCrop,6,-1,8.32149,10.442368
0,AnnualCrop,6,-1,9.465662,10.97596
0,AnnualCrop,6,-1,8.357257,10.462484
0,AnnualCrop,6,-1,8.670444,11.488071
0,AnnualCrop,6,-1,10.680907,8.83104
0,AnnualCrop,6,-1,7.9715176,10.604821
0,AnnualCrop,6,-1,9.283437,10.325195
0,AnnualCrop,6,-1,8.156236,10.780498
0,AnnualCrop,6,0,8.17704,11.220089
0,AnnualCrop,6,-1,8.144783,10.6121645
0,AnnualCrop,6,0,8.11874,11.086866
0,AnnualCrop,6,-1,9.672923,10.291463
0,AnnualCrop,6,-1,9.512023,11.047563
0,AnnualCrop,6,-1,8.596757,11.641586
0,AnnualCrop,6,-1,8.206305,10.462402
0,AnnualCrop,6,-1,8.392901,10.55071
0,AnnualCrop,6,-1,9.603526,10.354497
0,AnnualCrop,6,-1,10.391006,10.355474
0,AnnualCrop,6,-1,9.532135,10.443016
0,AnnualCrop,6,-1,9.505152,10.12628
0,AnnualCrop,6,-1,9.17399,10.463643
0,AnnualCrop,6,-1,9.593843,11.321308
0,AnnualCrop,6,-1,8.046267,10.951801
